date,btc_spot,btc_1m_future,btc_3m_future
2026-04-01,68078.5546875,68915.0,69525.0
2026-04-02,66888.5703125,67735.0,68345.0
2026-04-03,66931.1015625,,
2026-04-04,67290.515625,,
2026-04-05,68981.8984375,,
2026-04-06,68859.828125,70555.0,71180.0
2026-04-07,71940.703125,69740.0,70365.0
2026-04-08,71123.359375,72065.0,72685.0
2026-04-09,71767.828125,72880.0,73495.0
2026-04-10,72979.046875,74075.0,74695.0
2026-04-11,73054.2734375,,
2026-04-12,70753.40625,,
2026-04-13,74484.640625,74090.0,74695.0
2026-04-14,74181.609375,75000.0,75605.0
2026-04-15,74805.078125,75800.0,76440.0
2026-04-16,75152.1328125,76150.0,76790.0
2026-04-17,77126.875,78260.0,78875.0
2026-04-18,75726.2109375,,
2026-04-19,73856.3515625,,
2026-04-20,75872.5234375,77030.0,77625.0
2026-04-21,76352.7734375,75710.0,76335.0
2026-04-22,78203.1015625,79665.0,80320.0
2026-04-23,78268.953125,78565.0,79225.0
2026-04-24,77455.3125,78335.0,79020.0
2026-04-25,77612.015625,,
2026-04-26,78657.5390625,,
2026-04-27,77366.625,77510.0,78195.0
2026-04-28,76350.671875,76980.0,77685.0
2026-04-29,75776.1328125,76090.0,76810.0
2026-04-30,76304.3203125,77060.0,77775.0
2026-05-01,78179.0,79105.0,79810.0
2026-05-02,78657.25,,
2026-05-03,78538.2265625,,
2026-05-04,79827.90625,80720.0,81450.0
2026-05-05,80927.0546875,82285.0,83005.0
2026-05-06,81427.53125,82075.0,82800.0
2026-05-07,80009.9921875,80680.0,81405.0
2026-05-08,80186.765625,80720.0,81445.0
2026-05-09,80664.3671875,,
2026-05-10,82138.9296875,,
2026-05-11,81728.296875,82525.0,83240.0
2026-05-12,80477.4921875,81335.0,82060.0
2026-05-13,79277.1171875,80075.0,80800.0
2026-05-14,81051.25,81965.0,82695.0
2026-05-15,79065.6796875,79530.0,80245.0
2026-05-16,78131.4375,,
2026-05-17,77429.3515625,,
2026-05-18,76954.171875,77195.0,77880.0
2026-05-19,76750.90625,77135.0,77825.0
2026-05-20,77457.7734375,78015.0,78690.0
2026-05-21,77539.171875,78005.0,78695.0
2026-05-22,75488.2421875,76070.0,76775.0
2026-05-23,76673.3671875,,
2026-05-24,76981.125,,
2026-05-25,77279.9296875,,
2026-05-26,75825.734375,76190.0,76890.0
2026-05-28,73080.0,,
