year,t,scenario,alpha,source,passive_share
1994.0,0.0,no_passive,0.0,zero-net-flow reference case,0.0
1995.0,1.0,no_passive,0.0,zero-net-flow reference case,0.0
1996.0,2.0,no_passive,0.0,zero-net-flow reference case,0.0
1997.0,3.0,no_passive,0.0,zero-net-flow reference case,0.0
1998.0,4.0,no_passive,0.0,zero-net-flow reference case,0.0
1999.0,5.0,no_passive,0.0,zero-net-flow reference case,0.0
2000.0,6.0,no_passive,0.0,zero-net-flow reference case,0.0
2001.0,7.0,no_passive,0.0,zero-net-flow reference case,0.0
2002.0,8.0,no_passive,0.0,zero-net-flow reference case,0.0
2003.0,9.0,no_passive,0.0,zero-net-flow reference case,0.0
2004.0,10.0,no_passive,0.0,zero-net-flow reference case,0.0
2005.0,11.0,no_passive,0.0,zero-net-flow reference case,0.0
2006.0,12.0,no_passive,0.0,zero-net-flow reference case,0.0
2007.0,13.0,no_passive,0.0,zero-net-flow reference case,0.0
2008.0,14.0,no_passive,0.0,zero-net-flow reference case,0.0
2009.0,15.0,no_passive,0.0,zero-net-flow reference case,0.0
2010.0,16.0,no_passive,0.0,zero-net-flow reference case,0.0
2011.0,17.0,no_passive,0.0,zero-net-flow reference case,0.0
2012.0,18.0,no_passive,0.0,zero-net-flow reference case,0.0
2013.0,19.0,no_passive,0.0,zero-net-flow reference case,0.0
2014.0,20.0,no_passive,0.0,zero-net-flow reference case,0.0
2015.0,21.0,no_passive,0.0,zero-net-flow reference case,0.0
2016.0,22.0,no_passive,0.0,zero-net-flow reference case,0.0
2017.0,23.0,no_passive,0.0,zero-net-flow reference case,0.0
2018.0,24.0,no_passive,0.0,zero-net-flow reference case,0.0
2019.0,25.0,no_passive,0.0,zero-net-flow reference case,0.0
2020.0,26.0,no_passive,0.0,zero-net-flow reference case,0.0
2021.0,27.0,no_passive,0.0,zero-net-flow reference case,0.0
2022.0,28.0,no_passive,0.0,zero-net-flow reference case,0.0
2023.0,29.0,no_passive,0.0,zero-net-flow reference case,0.0
2024.0,30.0,no_passive,0.0,zero-net-flow reference case,0.0
2025.0,31.0,no_passive,0.0,zero-net-flow reference case,0.0
2026.0,32.0,no_passive,0.0,zero-net-flow reference case,0.0
2027.0,33.0,no_passive,0.0,zero-net-flow reference case,0.0
2028.0,34.0,no_passive,0.0,zero-net-flow reference case,0.0
2029.0,35.0,no_passive,0.0,zero-net-flow reference case,0.0
2030.0,36.0,no_passive,0.0,zero-net-flow reference case,0.0
2031.0,37.0,no_passive,0.0,zero-net-flow reference case,0.0
2032.0,38.0,no_passive,0.0,zero-net-flow reference case,0.0
2033.0,39.0,no_passive,0.0,zero-net-flow reference case,0.0
2034.0,40.0,no_passive,0.0,zero-net-flow reference case,0.0
2035.0,41.0,no_passive,0.0,zero-net-flow reference case,0.0
2036.0,42.0,no_passive,0.0,zero-net-flow reference case,0.0
2037.0,43.0,no_passive,0.0,zero-net-flow reference case,0.0
2038.0,44.0,no_passive,0.0,zero-net-flow reference case,0.0
2039.0,45.0,no_passive,0.0,zero-net-flow reference case,0.0
2040.0,46.0,no_passive,0.0,zero-net-flow reference case,0.0
2041.0,47.0,no_passive,0.0,zero-net-flow reference case,0.0
2042.0,48.0,no_passive,0.0,zero-net-flow reference case,0.0
2043.0,49.0,no_passive,0.0,zero-net-flow reference case,0.0
2044.0,50.0,no_passive,0.0,zero-net-flow reference case,0.0
2045.0,51.0,no_passive,0.0,zero-net-flow reference case,0.0
2046.0,52.0,no_passive,0.0,zero-net-flow reference case,0.0
2047.0,53.0,no_passive,0.0,zero-net-flow reference case,0.0
2048.0,54.0,no_passive,0.0,zero-net-flow reference case,0.0
2049.0,55.0,no_passive,0.0,zero-net-flow reference case,0.0
2050.0,56.0,no_passive,0.0,zero-net-flow reference case,0.0
2051.0,57.0,no_passive,0.0,zero-net-flow reference case,0.0
2052.0,58.0,no_passive,0.0,zero-net-flow reference case,0.0
2053.0,59.0,no_passive,0.0,zero-net-flow reference case,0.0
2054.0,60.0,no_passive,0.0,zero-net-flow reference case,0.0
1994.0,0.0,haddad_baseline,0.106,"Haddad, Huebner, and Loualiche 2025 fit",0.0399253339528138
1995.0,1.0,haddad_baseline,0.106,"Haddad, Huebner, and Loualiche 2025 fit",0.04419256088895654
1996.0,2.0,haddad_baseline,0.106,"Haddad, Huebner, and Loualiche 2025 fit",0.04889264343935163
1997.0,3.0,haddad_baseline,0.106,"Haddad, Huebner, and Loualiche 2025 fit",0.05406432646077497
1998.0,4.0,haddad_baseline,0.106,"Haddad, Huebner, and Loualiche 2025 fit",0.059748685770348614
1999.0,5.0,haddad_baseline,0.106,"Haddad, Huebner, and Loualiche 2025 fit",0.06598900949121879
2000.0,6.0,haddad_baseline,0.106,"Haddad, Huebner, and Loualiche 2025 fit",0.07283060623492708
2001.0,7.0,haddad_baseline,0.106,"Haddad, Huebner, and Loualiche 2025 fit",0.08032052650124792
2002.0,8.0,haddad_baseline,0.106,"Haddad, Huebner, and Loualiche 2025 fit",0.08850718308944182
2003.0,9.0,haddad_baseline,0.106,"Haddad, Huebner, and Loualiche 2025 fit",0.09743985629988042
2004.0,10.0,haddad_baseline,0.106,"Haddad, Huebner, and Loualiche 2025 fit",0.10716807048652817
2005.0,11.0,haddad_baseline,0.106,"Haddad, Huebner, and Loualiche 2025 fit",0.11774083035052899
2006.0,12.0,haddad_baseline,0.106,"Haddad, Huebner, and Loualiche 2025 fit",0.12920570850716617
2007.0,13.0,haddad_baseline,0.106,"Haddad, Huebner, and Loualiche 2025 fit",0.1416077805650597
2008.0,14.0,haddad_baseline,0.106,"Haddad, Huebner, and Loualiche 2025 fit",0.15498841043343178
2009.0,15.0,haddad_baseline,0.106,"Haddad, Huebner, and Loualiche 2025 fit",0.16938389693401873
2010.0,16.0,haddad_baseline,0.106,"Haddad, Huebner, and Loualiche 2025 fit",0.18482400300454419
2011.0,17.0,haddad_baseline,0.106,"Haddad, Huebner, and Loualiche 2025 fit",0.20133040059885765
2012.0,18.0,haddad_baseline,0.106,"Haddad, Huebner, and Loualiche 2025 fit",0.21891507730911577
2013.0,19.0,haddad_baseline,0.106,"Haddad, Huebner, and Loualiche 2025 fit",0.2375787639469523
2014.0,20.0,haddad_baseline,0.106,"Haddad, Huebner, and Loualiche 2025 fit",0.2573094546973142
2015.0,21.0,haddad_baseline,0.106,"Haddad, Huebner, and Loualiche 2025 fit",0.27808110159567306
2016.0,22.0,haddad_baseline,0.106,"Haddad, Huebner, and Loualiche 2025 fit",0.299852571390463
2017.0,23.0,haddad_baseline,0.106,"Haddad, Huebner, and Loualiche 2025 fit",0.32256695373510436
2018.0,24.0,haddad_baseline,0.106,"Haddad, Huebner, and Loualiche 2025 fit",0.34615130371468894
2019.0,25.0,haddad_baseline,0.106,"Haddad, Huebner, and Loualiche 2025 fit",0.3705168880326052
2020.0,26.0,haddad_baseline,0.106,"Haddad, Huebner, and Loualiche 2025 fit",0.39555998258063735
